sooby	Lith	G2	30	Intact
sooby	Lith	V3	23	Intact
sooby	Lith	T1	22	Intact
sooby	Lith	N3	21	Intact
sooby	Lith	V2	19	Intact
sooby	Lith	V4	14	Intact
sooby	Lith	M2	4	Intact
sooby	Lith	V5	4	Radiant
sooby	Lith	B2	13	Intact
sooby	Lith	S7	13	Intact
sooby	Lith	C2	12	Intact
sooby	Lith	H1	12	Intact
sooby	Lith	S4	10	Intact
sooby	Lith	S5	8	Intact
sooby	Lith	O1	5	Intact
sooby	Lith	P1	5	Intact
sooby	Lith	C3	3	Intact
sooby	Lith	G2	2	Radiant
sooby	Lith	H2	2	Intact
sooby	Lith	M3	2	Intact
sooby	Lith	T2	2	Intact
sooby	Lith	V5	2	Intact
sooby	Lith	Z1	2	Intact
sooby	Lith	Z2	2	Intact
sooby	Lith	B3	1	Intact
sooby	Lith	B4	1	Intact
sooby	Lith	B5	1	Intact
sooby	Lith	B6	1	Intact
sooby	Meso	N5	14	Intact
sooby	Meso	B3	13	Intact
sooby	Meso	G1	13	Intact
sooby	Meso	H1	13	Intact
sooby	Meso	K1	10	Intact
sooby	Meso	O1	10	Intact
sooby	Meso	S2	10	Intact
sooby	Meso	F3	9	Intact
sooby	Meso	T1	7	Intact
sooby	Meso	V1	7	Intact
sooby	Meso	N3	6	Intact
sooby	Meso	S4	5	Intact
sooby	Meso	E1	4	Intact
sooby	Meso	F1	4	Intact
sooby	Meso	N4	4	Intact
sooby	Meso	B2	3	Intact
sooby	Meso	F2	3	Intact
sooby	Meso	O2	3	Intact
sooby	Meso	S7	3	Intact
sooby	Meso	C3	2	Intact
sooby	Meso	D3	2	Intact
sooby	Meso	S2	2	Radiant
sooby	Meso	S5	2	Intact
sooby	Meso	S6	2	Intact
sooby	Meso	D1	1	Intact
sooby	Meso	D2	1	Intact
sooby	Meso	G1	1	Radiant
sooby	Meso	M2	1	Intact
sooby	Meso	M2	1	Radiant
sooby	Meso	O2	1	Radiant
sooby	Meso	S8	1	Intact
sooby	Meso	Z2	1	Radiant
sooby	Neo	S7	36	Intact
sooby	Neo	V2	32	Intact
sooby	Neo	V5	32	Intact
sooby	Neo	B2	29	Intact
sooby	Neo	H1	28	Intact
sooby	Neo	S5	24	Intact
sooby	Neo	E1	23	Intact
sooby	Neo	V6	18	Intact
sooby	Neo	M1	16	Intact
sooby	Neo	V7	12	Intact
sooby	Neo	N8	11	Intact
sooby	Neo	V3	10	Intact
sooby	Neo	L1	9	Intact
sooby	Neo	N9	9	Intact
sooby	Neo	B1	8	Intact
sooby	Neo	B5	8	Intact
sooby	Neo	A2	7	Intact
sooby	Neo	F1	7	Intact
sooby	Neo	K1	7	Intact
sooby	Neo	S8	7	Intact
sooby	Neo	H2	5	Intact
sooby	Neo	M2	5	Intact
sooby	Neo	A1	3	Intact
sooby	Neo	K2	3	Intact
sooby	Neo	N5	3	Intact
sooby	Neo	T1	3	Intact
sooby	Neo	V4	3	Radiant
sooby	Neo	Z2	3	Intact
sooby	Neo	N4	2	Intact
sooby	Neo	S9	2	Intact
sooby	Neo	T1	2	Radiant
sooby	Neo	V5	2	Radiant
sooby	Neo	B1	1	Exceptional
sooby	Neo	B5	1	Exceptional
sooby	Neo	G1	1	Intact
sooby	Neo	H2	1	Exceptional
sooby	Neo	L1	1	Radiant
sooby	Neo	R1	1	Intact
sooby	Axi	S2	28	Intact
sooby	Axi	E2	23	Intact
sooby	Axi	A3	19	Intact
sooby	Axi	N5	19	Intact
sooby	Axi	V6	19	Intact
sooby	Axi	B2	18	Intact
sooby	Axi	L1	18	Intact
sooby	Axi	O1	18	Intact
sooby	Axi	V7	18	Intact
sooby	Axi	E1	15	Intact
sooby	Axi	N4	13	Intact
sooby	Axi	A4	11	Intact
sooby	Axi	K3	11	Intact
sooby	Axi	S4	11	Intact
sooby	Axi	N6	10	Intact
sooby	Axi	L2	8	Intact
sooby	Axi	A1	7	Intact
sooby	Axi	L1	6	Radiant
sooby	Axi	N2	6	Intact
sooby	Axi	A5	4	Intact
sooby	Axi	O3	4	Intact
sooby	Axi	O4	4	Intact
sooby	Axi	B1	3	Intact
sooby	Axi	C3	3	Intact
sooby	Axi	K4	3	Intact
sooby	Axi	H1	2	Radiant
sooby	Axi	H3	2	Intact
sooby	Axi	L3	2	Intact
sooby	Axi	R2	2	Intact
sooby	Axi	G1	1	Radiant
sooby	Axi	H4	1	Intact
sooby	Axi	L2	1	Exceptional
sooby	Axi	L2	1	Radiant
sooby	Axi	O1	1	Radiant